strength,ours,ours_var,udp,udp_var,udp2,udp2_var,tack,tack_var,cubic,cubic_var,bbr,bbr_var,quic,quic_var
-20,690.4,18.05670081837888,690.1,26.880186837975,576.0812484,64.08220661726659,499.0,13.727506854649334,135.2,1.398411797560202,558.9,28.285862192975,143.305492,18.458379
-40,433.2,80.24102580489746,431.6,64.1460139923839,353.00391030000003,34.36056855104954,304.2,38.89815762560827,104.2,10.972693379476162,373.2,9.6622978633449,131.374275,18.425789
-60,377.5,79.69560144003488,410.3,60.30303106441297,294.3363619,101.37727013778434,296.5,52.096598310787584,105.0,13.498971154211057,373.3,21.619666972453,73.244098,28.817169
